topology,shape,level,total_demand_vph,n_seeds,noise,red_vs_fixed_equal,red_vs_fixed_webster,relay_mean_wait,relay_p95_wait,relay_throughput_vph,fixed_equal_mean_wait,fixed_equal_p95_wait,fixed_equal_throughput_vph,fixed_webster_mean_wait,fixed_webster_p95_wait,fixed_webster_throughput_vph
4-way,single,1.2,1533.6,25,0.0,96.11,44.89,9.195,21.32,1533.216,239.173,542.46,1194.816,17.133,69.82,1537.056
4-way,single,1.4,1789.2,25,0.0,95.75,38.54,12.95,34.6,1801.248,305.002,703.58,1273.536,21.523,86.1,1793.76
4-way,single,1.6,2044.8,25,0.0,93.61,26.68,23.049,64.24,2058.048,360.309,836.7,1346.4,31.97,127.06,2043.84
4-way,single,1.8,2300.4,25,0.0,80.65,-26.65,77.982,192.94,2221.92,397.991,937.6,1421.76,61.449,173.98,2237.856
4-way,one_axis,0.4,460.8,25,0.0,68.16,51.88,3.366,9.88,468.96,10.62,23.36,468.96,7.003,17.96,468.96
4-way,one_axis,0.6,691.2,25,0.0,64.63,46.22,3.859,11.28,705.312,10.935,23.48,706.848,7.212,18.02,705.408
4-way,one_axis,0.8,921.6,25,0.0,63.36,42.52,4.394,11.78,929.664,12.053,24.22,930.144,7.672,19.76,929.472
4-way,one_axis,1.0,1152.0,25,0.0,64.93,38.8,4.921,12.58,1141.824,14.069,29.48,1142.976,8.063,19.48,1142.784
4-way,one_axis,1.2,1382.4,25,0.0,70.03,35.9,5.531,13.42,1385.472,18.855,42.52,1386.336,8.638,20.9,1385.76
4-way,one_axis,1.4,1612.8,25,0.0,83.07,34.6,6.16,14.56,1617.504,38.521,88.98,1599.168,9.438,23.36,1619.808
4-way,one_axis,1.6,1843.2,25,0.0,93.09,31.44,6.89,15.9,1840.224,105.296,221.02,1696.224,10.053,26.46,1842.432
4-way,one_axis,1.8,2073.6,25,0.0,95.95,29.33,7.686,18.1,2095.584,192.847,383.9,1735.2,10.879,30.38,2093.952
4-way,three_heavy,0.4,511.2,25,0.0,49.1,47.14,5.146,11.78,527.616,10.13,23.44,526.464,9.747,20.96,526.752
4-way,three_heavy,0.6,766.8,25,0.0,44.48,42.15,5.892,12.96,778.272,10.629,23.4,778.08,10.202,21.06,776.832
4-way,three_heavy,0.8,1022.4,25,0.0,40.39,38.55,6.804,14.84,1029.792,11.434,23.54,1030.656,11.093,21.56,1030.656
4-way,three_heavy,1.0,1278.0,25,0.0,36.86,34.5,7.593,16.42,1270.944,12.037,23.94,1269.888,11.609,23.1,1266.24
4-way,three_heavy,1.2,1533.6,25,0.0,33.13,34.26,8.811,19.54,1527.552,13.193,26.18,1528.8,13.423,26.7,1518.144
4-way,three_heavy,1.4,1789.2,25,0.0,36.08,35.06,10.258,22.86,1782.72,16.141,35.42,1782.816,15.828,32.4,1786.752
4-way,three_heavy,1.6,2044.8,25,0.0,44.58,36.05,12.336,28.16,2043.648,22.94,54.42,2042.688,19.428,41.28,2043.264
4-way,three_heavy,1.8,2300.4,25,0.0,60.88,34.82,15.684,36.58,2292.0,43.152,99.24,2252.448,24.078,50.3,2282.976
4-way,lopsided,0.4,504.0,25,0.0,55.82,45.4,4.658,11.52,513.408,10.59,23.4,513.408,8.549,24.2,512.256
4-way,lopsided,0.6,756.0,25,0.0,52.62,41.29,5.491,12.66,766.272,11.625,24.22,766.08,9.37,25.58,763.008
4-way,lopsided,0.8,1008.0,25,0.0,55.81,38.2,6.3,14.18,1012.032,14.489,33.36,1010.88,10.223,27.4,1007.424
4-way,lopsided,1.0,1260.0,25,0.0,72.88,34.0,7.337,16.14,1267.776,31.314,77.7,1258.848,11.142,29.72,1262.4
4-way,lopsided,1.2,1512.0,25,0.0,90.43,34.75,8.665,20.34,1519.776,99.282,254.8,1406.592,13.37,38.26,1525.44
4-way,lopsided,1.4,1764.0,25,0.0,93.93,34.43,10.464,25.58,1779.84,175.629,474.6,1504.32,16.077,46.12,1780.224
4-way,lopsided,1.6,2016.0,25,0.0,93.88,34.46,13.286,34.54,2002.656,219.689,604.18,1601.184,20.418,63.2,1999.968
4-way,lopsided,1.8,2268.0,25,0.0,91.43,30.54,22.232,62.36,2260.8,259.608,718.08,1714.08,32.559,105.36,2251.296
4-way,near_equal,0.4,512.6,25,0.0,47.09,45.43,5.272,11.74,526.176,10.003,23.22,524.832,9.7,21.12,524.256
4-way,near_equal,0.6,769.0,25,0.0,43.6,39.74,6.022,12.96,782.592,10.7,23.46,782.4,10.007,21.22,780.864
4-way,near_equal,0.8,1025.3,25,0.0,37.55,35.63,6.752,14.54,1042.944,10.831,23.5,1041.792,10.502,21.4,1040.16
4-way,near_equal,1.0,1281.6,25,0.0,35.12,32.98,7.518,16.02,1286.784,11.6,23.68,1286.304,11.229,22.1,1281.12
4-way,near_equal,1.2,1537.9,25,0.0,30.65,29.15,8.364,17.92,1535.616,12.068,23.86,1534.752,11.811,22.94,1538.88
4-way,near_equal,1.4,1794.2,25,0.0,28.51,28.8,9.397,20.38,1775.52,13.158,26.14,1775.808,13.212,26.38,1779.744
4-way,near_equal,1.6,2050.6,25,0.0,28.49,29.15,10.651,23.76,2033.088,14.938,31.96,2033.376,15.053,30.46,2031.168
4-way,near_equal,1.8,2306.9,25,0.0,32.59,27.87,12.626,28.66,2298.624,18.891,44.64,2298.72,17.54,37.46,2300.064
T,t_balanced,0.4,432.0,25,0.0,52.81,50.19,4.807,11.42,436.32,10.219,23.32,435.36,9.705,21.0,436.896
T,t_balanced,0.6,648.0,25,0.0,48.52,45.74,5.534,12.68,653.28,10.775,23.48,652.704,10.223,21.0,652.896
T,t_balanced,0.8,864.0,25,0.0,43.57,42.84,6.24,13.82,866.208,11.083,23.54,865.92,10.937,21.84,866.208
T,t_balanced,1.0,1080.0,25,0.0,39.6,39.64,7.085,15.5,1072.512,11.736,23.74,1073.76,11.755,23.04,1073.184
T,t_balanced,1.2,1296.0,25,0.0,37.4,37.69,8.109,17.78,1274.4,12.98,25.62,1272.672,13.043,26.24,1271.904
T,t_balanced,1.4,1512.0,25,0.0,37.14,37.52,9.153,20.58,1487.712,14.591,30.14,1487.136,14.662,30.2,1483.968
T,t_balanced,1.6,1728.0,25,0.0,42.26,38.46,10.629,24.24,1707.84,18.764,44.4,1707.744,17.41,37.06,1707.648
T,t_balanced,1.8,1944.0,25,0.0,48.46,36.97,12.926,30.16,1930.176,25.692,60.42,1923.36,20.583,43.08,1932.864
T,t_arterial,0.4,547.2,25,0.0,65.16,50.11,3.678,10.72,550.464,10.582,23.44,549.792,7.4,18.34,549.504
T,t_arterial,0.6,820.8,25,0.0,63.07,45.92,4.267,11.82,821.76,11.597,23.7,820.416,7.894,19.44,819.84
T,t_arterial,0.8,1094.4,25,0.0,63.75,44.83,4.843,12.56,1076.448,13.48,27.84,1077.024,8.794,22.12,1075.104
T,t_arterial,1.0,1368.0,25,0.0,68.83,40.61,5.843,14.14,1362.528,19.006,45.96,1364.064,9.863,25.96,1360.224
T,t_arterial,1.2,1641.6,25,0.0,82.05,36.58,6.88,16.26,1646.976,43.852,104.44,1617.12,10.882,27.96,1645.728
T,t_arterial,1.4,1915.2,25,0.0,93.42,33.97,8.047,19.22,1922.4,128.841,250.26,1725.408,12.242,33.4,1927.968
T,t_arterial,1.6,2188.8,25,0.0,95.38,32.27,9.679,24.4,2180.448,213.674,420.36,1761.216,14.329,39.14,2176.416
T,t_arterial,1.8,2462.4,25,0.0,95.68,30.47,12.356,32.2,2467.584,289.156,570.96,1796.544,17.851,52.78,2458.752
